Title,Link,Publication Date,Authors,Abstract
Trajectories of Screen Time across Adolescence and Their Associations with Adulthood Mental Health and Behavioral Outcomes,https://link.springer.com/article/10.1007/s10964-023-01782-x,06 May 2023,"Xinxin Zhu, Helen Griffiths, Zhuoni Xiao, Denis Ribeaud, Manuel Eisner, Yi Yang, Aja Louise Murray","Excessive screen time among adolescents is discussed as a significant public health concern. Identifying adolescent longitudinal patterns of time spent on regularly-used media screens and understanding their young adulthood mental health and behavioral issue correlates may help inform strategies for improving these outcomes. This study aimed to characterize joint developmental patterns of time spent on videogames, surfing/chatting the Internet, and TV/DVDs during adolescence (at ages 11, 13, 15, 17) and their associations with mental health (i.e., depression, anxiety, suicidal ideation, and self-injury) and behavioral issues (i.e., substance use, delinquency, aggression) in early adulthood (at age 20). A parallel-process latent class growth analysis was used to model data from a diverse community-ascertained sample of youth in Zurich, Switzerland (n = 1521; 51.7% males). Results suggested that a five-class model best fitted the data: (1) low-screen use, 37.6%; (2) increasing chatting/surfing, 24.0%; (3) moderate-screen use, 18.6%; (4) early-adolescence screen use, 9.9%; and (5) increasing videogame and chatting/surfing, 9.9%. After adjusting for baseline levels of outcomes (primarily at age 11), the trajectory groups differed in their associations with adulthood outcomes of mental health and behavioral problems, indicating the importance of problematic screen usage patterns in predicting these outcomes. Future research to test the directionality of these associations will be important. These findings suggest which patterns of screen use may be a marker for later mental health and behavioral issues in different domains."
Problematic Gaming and Students’ Academic Performance: A Systematic Review,https://link.springer.com/article/10.1007/s11469-024-01338-5,10 June 2024,"Alanood Khalid D Alzahrani, Mark D. Griffiths","Research indicates that videogames can have many benefits. However, gaming can be problematic for some individuals. Consequently, over the past two decades, researchers have actively studied the risk factors and consequences of problematic gaming and gaming disorder which may affect many aspects of individuals’ lives, including their academic performance."
Changes in Daily Life Habits during COVID-19 and Their Transitory and Permanent Effects on Italian University Students’ Anxiety Level,https://link.springer.com/article/10.1007/s11482-024-10304-1,15 March 2024,"Giovanni Busetta, Maria Gabriella Campolo, Demetrio Panarello","The COVID-19 pandemic has produced increases in mental distress, correlated with fear about the future, economic outlook, labor market situation, restriction of individual freedom and behavioral changes. While some of these are associated with the perceived risk of infection, others are linked to the restrictive measures imposed to limit infections. Whatever the reason behind it, the main question to be asked is whether transitory or habitual anxiety levels are affected and, eventually, whether changes in daily life habits could play a role. To answer this question, a survey was administered to thousands of students from three Italian universities. The survey included a psychological test, the State-Trait Anxiety Inventory, through which it is possible to observe whether the effects of changes in daily life habits impact on transitory (State) and/or habitual (Trait) levels of anxiety. First, the results show that individuals who are habitually characterized by higher levels of anxiety tend to suffer higher increases in transitory anxiety during the pandemic, and that being a woman is associated with increases in both habitual and current anxiety. Furthermore, physical activity, book reading and self-care practices seem to mitigate the increase in anxiety led by the pandemic. While the first and the last have an impact on habitual and current anxiety levels, book reading is only associated with reductions in current anxiety. Finally, increased use of social networks is associated with greater state anxiety levels, while intensive exposure to videogames and movies amplifies trait anxiety."
Which is the Digital Competence of Each Member of Educational Community to Use the Computer? Which Predictors Have a Greater Influence?,https://link.springer.com/article/10.1007/s10758-023-09646-w,04 April 2023,"Francisco D. Guillén-Gámez, Ernesto Colomo-Magaña, Andrea Cívico-Ariza, Teresa Linde-Valenzuela","Since the COVID-19 pandemic, the use of digital resources and virtual platforms is even more essential to continue the educational process, either in person or online, affecting all the members involved in the teaching–learning process of the students. Therefore, this study is aimed: (1) to know and compare the digital competence of the agents that are the main integrators of the educational community (parents, teachers, students) about the use of the computers, according to gender and educational stage (Pre-school, Primary and Secondary Education stages); and (2) to identify significant predictors that affect the acquisition of this competence. An ex-post-facto design was used with a sample of 786 participants from Andalusia (Spain). Research methods such as contrasts of means and multiple linear regression analysis were used. The results showed high average levels of basic digital competences for all the agents involved. A gender gap was found between mothers and fathers of students, with higher scores for the latter group. In addition, the use of videogames, the parents' academic background and the use of digital tablets or Google+ are the most significant predictors that affect the acquisition of this competence."
"The relationships between school children's wellbeing, socio-economic disadvantage and after-school activities: a cross-sectional study",https://link.springer.com/article/10.1186/s12887-022-03322-1,21 May 2022,"Eliza Kennewell, Rachel G. Curtis, Carol Maher, Samuel Luddy, Rosa Virgara",Lower socioeconomic status is associated with poorer wellbeing among children. Identifying how children participate in after-school activities and how after-school activities are associated with wellbeing may inform interventions to improve wellbeing among children from low socioeconomic backgrounds. This study explored whether children’s after-school activities varied by socioeconomic status and examined the associations between after-school activities and wellbeing in low socioeconomic status children.
Factors affecting the Acceptance of Video Games as a Tool to improve students’ academic performance in Physical Education,https://link.springer.com/article/10.1007/s10639-022-11295-y,04 November 2022,"Carlos Merino-Campos, Héctor del-Castillo, José-Amelio Medina-Merodio","Using commercial videogames as learning objects for the development of 21st century skills in secondary schools has been a relevant topic of study in recent years. But its use in the field of physical education is especially interesting considering its nature. The aim of this article is to explore how elements like technological competence, game-based learning, accessibility, and enjoyment are relevant factors that influence the acceptance of the use of video games as a learning aid in the context of physical education, as well as their influence on academic performance in the subject itself. The study enlisted the participation of 166 secondary school students. A quasi-experimental pre-post design with a non-equivalent control group was used. The intervention consisted of a specific training program entailing nine one-hour sessions once a week. To develop the model, the data was analysed using the optimisation technique of partial least squares (PLS). Our findings show that the factors studied, which are accessibility, enjoyment, technological competence and learning through video games, have an impact on students’ acceptance of video games as an educational tool and how this positive relationship leads to enhanced academic performance in physical education."
Electronic device and social network use and sleep outcomes among adolescents: the EHDLA study,https://link.springer.com/article/10.1186/s12889-023-15579-x,19 May 2023,"Anelise Reis Gaya, Rodolfo Brum, Keith Brites, Adroaldo Gaya, Letícia de Borba Schneiders, Miguel Angelo Duarte Junior, José Francisco López-Gil","Considering the evident risk in the literature between the use of screen devices and sleep, there are still few studies on the relationship between each electronic screen device, media programs and sleep duration and sleep-related problems among adolescents and which variables interfere in these relationships. Therefore, this study has the following objectives: (1) to determine which are the most common electronic display devices related to sleep time and outcomes and (2) to determine which are the most common social network applications, such as Instagram and WhatsApp, associated with sleep outcomes."
Eight Hypotheses on Technology Use and Psychosocial Wellbeing: A Bicultural Phenomenological Study of Gaming during the COVID-19 Pandemic,https://link.springer.com/article/10.1007/s12144-022-03586-x,22 August 2022,"Veli-Matti Karhulahti, Henri Nerg, Tanja Laitinen, Antti Päivinen, Yingrong Chen","In this nonconfirmatory qualitative study, we pursued a range of hypotheses regarding how gaming operates in the lives and psychosocial wellbeing of those who actively play videogames during a crisis, such as the COVID-19 pandemic in 2020. Informed by an explorative survey (N = 793), interpretive phenomenological analysis was applied to interview data from actively gaming Chinese (n = 10) and Finnish (n = 10) participants. Our findings demonstrate how the general increase of pandemic-time gaming did not manifest in all player groups, but in some life contexts gaming activity rather decreased along with reformations in subjective meaning hierarchies and values. Ultimately, eight subordinate themes were refined into testable hypotheses. The study encourages policies that promote socially supportive gaming during pandemic-like situations to consider including personally meaningful solitary play in their recommendations and highlighting context-specificity over generalization. Finally, as almost all our data points echoing experiences of decreasing gaming activity came from China, we stress the importance of culturally diverse samples in the psychological study of global phenomena."
Behavioral Addictions Questionnaire (BAQ): Validation of a New Tool for the Screening of Multiple Addictive Behaviors in the Italian Population,https://link.springer.com/article/10.1007/s11469-022-00906-x,06 September 2022,"Stefania Mastropietro, Francesca Favieri, Giuseppe Forte, Nicoletta Locuratolo, Daniela Mannarelli, Caterina Pauletti, Francesco Fattapposta, Maria Casagrande","This study deals with the uncertainty in defining behavioral addictions (BAs). BAs are characterized by specific compulsive behaviors, regardless of potential negative consequences. However, to differentiate a behavior from a leisure activity to an addictive one is still an object of debate in the literature. Accordingly, this study aimed to assess the psychometric properties of the Behavioral Addictions Questionnaire (BAQ) as a possible screening tool for multiple BAs (i.e., shopping, food addiction, gambling, sex, work, exercise, Internet, videogames, and smartphone). BAQ aims to give a dimensional and quantitative assessment of addictive behaviors in a continuum, including both the adaptive and maladaptive features of the behaviors. Five hundred and seventy-six healthy adults (age range: 18–88) participated in the study, completing a survey including the BAQ questionnaire. Considering both exploratory and confirmatory factor analyses, statistical examination suggested good psychometric properties, with adequate validity in all its subscales (i.e., the goodness of fit). Moreover, also higher reliability was confirmed for each dimension detected (i.e., all alpha over 0.65). The BAQ represents a comprehensive screening instrument that benefits from appropriate validity and reliability for assessing BAs. Therefore, it can be used in clinical fields and research. Moreover, the feature of BAs on a continuum, and the severity index adopted by the study, can help from a preventive perspective. However, further validation of the BAQ is needed in other countries and contexts."
A Comparative Time-Diary Analysis of UK and US Children’s Screen Time and Device Use,https://link.springer.com/article/10.1007/s12187-021-09884-3,02 December 2021,"Killian Mullan, Sandra L. Hofferth","This paper presents the results of a comparative analysis of the time school-age children 8-17 years in the UK and the US spent using devices such as smartphones and tablets, and their time in screen-based activities such as watching TV and playing videogames in 2014-15. The paper draws on innovative instruments measuring children’s time using technology and engaging with screens in these two countries. We find that in both, children’s time using devices overlaps with time in screen-based activities, non-screen leisure, and non-leisure activities. Children in the UK spend more time using devices than children in the US, but family size and the availability of an internet connection at home largely explain major cross-national differences. Children in the US spend less time using computers than children in the UK, and, on non-school days, more time watching TV and playing videogames. These differences remain significant after controlling for a range of child, parent and family-level characteristics. Divergent cross-national patterns for children’s time using relatively new devices and their time in more established screen-based activities are linked to differences in family composition and to differential access."
The one to watch: Heuristic Determinants of Viewership among Influential Twitch Streamers,https://link.springer.com/article/10.1007/s10660-022-09589-x,08 August 2022,E. Mitchell Church,"Twitch users watched over 1.2 billion hours of streaming video in a single month in 2020, with the vast majority of these hours devoted to videogames. The most popular streamers who create this content are often powerful influencers in a rapidly growing industry, and many industries now see videogame influencer marketing as a key aspect of their marketing mix. However, while some streamers have amassed incredible popularity on Twitch, the factors that drive live-streaming viewership remain poorly understood. This study empirically examines a large population of Twitch streamers to explore this existing gap in the current research and explain how potential viewers make the decision to patronize a Twitch streamer. Using panel data on the actions and characteristics of Twitch streamers combined with other sources, the study identifies the heuristic cues most associated with successful Twitch streamers. Ultimately, the study identifies and evaluates multiple heuristics around Twitch content delivery practices, with significant implications for any live-streaming context."
How do previously inactive individuals restructure their time to ‘fit in’ morning or evening exercise: a randomized controlled trial,https://link.springer.com/article/10.1007/s10865-022-00370-x,03 November 2022,"Paige G. Brooker, Sjaan R. Gomersall, Neil A. King, Nicholas F. McMahon, Michael D. Leveritt","The objective of this study was to investigate changes in sedentary and active behaviors when previously inactive adults start exercising in the morning or evening. One-hundred adults with overweight or obesity (BMI ≥ 25 kg/m2) were recruited for a 12-week intervention and randomized to one of three groups: (i) morning exercise (AMEx; 0600–0900); (ii) evening exercise (PMEx; 1600–1900); or (iii) waitlist control. AMEx and PMEx were prescribed self-paced aerobic exercise to achieve a weekly total of 250 min via a combination of supervised and unsupervised training. Sedentary and active behavior times were measured at baseline, mid- and post-intervention using the multimedia activity recall for children and adults. Time spent engaging in physical activity was significantly increased from baseline at both mid- (+ 14–22 min·day−1) and post-intervention (+ 12–19 min·day−1), for AMEx and PMEx. At 12-weeks, participants in both morning and evening exercise groups reported increased time spent Sleeping (+ 36 and + 20 min·day−1, respecitively), and reduced time spent watching TV/playing videogames (− 32 and − 25 min·day−1, respectively). In response to an exercise stimulus, previously inactive adults make encouraging modifications in how they use their time, and the patterns of change are similar with morning and evening exercise."
Cheer for me: effect of non-player character audience feedback on older adult users of virtual reality exergames,https://link.springer.com/article/10.1007/s10055-023-00780-5,13 March 2023,"Kangyou Yu, Shaoyue Wen, Wenge Xu, Maurizio Caon, Nilufar Baghaei, Hai-Ning Liang","The presence of an audience and its feedback could affect people’s performance and experience during an event, especially related to sports such as tennis or boxing. Similarly, in videogames, players’ gameplay could be affected if there is an audience and its feedback in response to players’ performance in the environment. The inclusion of an audience with non-player characters (NPC) is common in videogames in general. However, there is a limited exploration of the use of an NPC audience in virtual reality (VR) exergames, especially focusing on elderly players. To fill this gap, this work examines the effect of an NPC audience and its associated feedback (with/without) on elderly users of VR exergames. In a user study, we used 120 NPC in a virtual audience. Results showed that the presence of the NPC audience with responsive feedback led to higher performance (with a higher success rate of performing gesture actions, more successful combinations of actions (or combos for short) performed, and more opponent’s combos prevented) and better gameplay experience (with higher levels of competence, autonomy, relatedness, immersion, and intuitive controls) of elderly players. Our results can help frame the design and engineering of VR exergames that are targeted at elderly users to help them have an enhanced gameplay experience and improve their health."
Resisting the Gamer’s Dilemma,https://link.springer.com/article/10.1007/s10676-022-09655-w,28 July 2022,"Thomas Montefiore, Paul Formosa","Intuitively, many people seem to hold that engaging in acts of virtual murder in videogames is morally permissible, whereas engaging in acts of virtual child molestation is morally impermissible. The Gamer’s Dilemma (Luck in Ethics Inf Technol 11:31–36, 2009) challenges these intuitions by arguing that it is unclear whether there is a morally relevant difference between these two types of virtual actions. There are two main responses in the literature to this dilemma. First, attempts to resolve the dilemma by defending an account of the relevant moral differences between virtual murder and virtual child molestation. Second, attempts to dissolve the dilemma by undermining the intuitions that ground it. In this paper, we argue that a narrow version of the Gamer’s Dilemma seems to survive attempts to resolve or dissolve it away entirely, since neither approach seems to be able to solve the dilemma for all cases. We thus provide a contextually sensitive version of the dilemma that more accurately tracks onto the intuitions of gamers. However, we also argue that the intuitions that ground the narrow version of the Dilemma may not have a moral foundation, and we put forward alternative non-moral normative foundations that seem to better account for the remaining intuitive difference between the two types of virtual actions. We also respond to proposed solutions to the Gamer’s Dilemma in novel ways and set out areas for future empirical work in this area."
Why do adults seek treatment for gaming (disorder)? A qualitative study,https://link.springer.com/article/10.1057/s41599-023-01775-y,06 June 2023,"Veli-Matti Karhulahti, Sanni Behm, Lauri Lukka","Despite gaming disorder now being diagnosable by the International Classification of Diseases (ICD-11) as a new mental disorder due to addictive behaviors, little is known about the concrete reasons for which people seek treatment for their videogame play. As the current literature is mainly based on children and adolescents, there is a strong need for better understanding adult treatment-seekers in particular. This preregistered study responds to the gap in research by qualitatively investigating the reasons for treatment-seeking with 110 participants who had sought help for their videogame play from a Finnish treatment program. We applied template analysis to the open-ended data, which consist of the participants’ personal accounts regarding their problems. Additionally, we report the game titles that the participants had problems with, as well as Internet Gaming Disorder Test (IGDT-10) scores, which were measured from 89 participants. The template analysis suggested five themes, which cover the main reasons for treatment-seeking: social reasons, existential reasons, practical reasons, self-perceived addiction, and wish for support. Many of these themes overlap with the ICD-11 description of gaming disorder, but several issues, such as loss of meaning and financial harms, are not part of the current diagnosis. The average IGDT-10 score among participants was 3.86 (SD = 2.55) and 37 (42%) individuals met the disorder cutoff (5.00). Numerous videogames with different designs were mentioned as sources of problems, of which 26 were mentioned more than once. The study indicates that adults seek treatment for many kinds of games and gaming-related problems, including but not limited to those, which are described part of the ICD-11 gaming disorder diagnoses. We recommend both researchers and practitioners to implement an expanded perspective on gaming behaviors, acknowledging that adults may seek treatment for diverse gaming-related problems, some of which not necessarily relevant to gaming disorder or mental disorders in general."
