Title,Link,Publication Date,Authors,Abstract,Preprocess Abstract
Exploring Consumer Detriment in Immersive Gaming Technologies,https://link.springer.com/article/10.1007/s10603-023-09544-9,05 July 2023,"R. Hyde, P. Cartwright",,
"Do Patterns of Adolescent Participation in Arts, Culture and Entertainment Activities Predict Later Wellbeing? A Latent Class Analysis",https://link.springer.com/article/10.1007/s10964-024-01950-7,11 March 2024,"Emma Thornton, Kimberly Petersen, Jose Marquez, Neil Humphrey",,
Unravelling cognitive processing of in-game brands using eye tracking and electroencephalography: incongruence fosters it,https://link.springer.com/article/10.1007/s12144-023-04970-x,14 July 2023,"Irene Aliagas, Jesús Privado, Mª Dolores Merino","Videogames have become the world’s favorite pastime, which is why brands integrate their logos on them, a technique called product placement. While most research has focused on analyzing whether brands are memorized based on their presentation within the videogame, little is known about how they are perceived and cognitively processed. This article analyzes whether attention and cognitive load from the placement and the videogame mediate the relationship between prominence, congruence, and familiarity of the brands and their memorization. A preliminary study made it possible to find the brands to be placed (n = 180), while the main study was experimental (n = 160), with prominence and congruence as between-subject factors and familiarity as a within-subject factor. Applying eye tracking and electroencephalogram, the results indicate that when the brand inserted via product placement is incongruent with the videogame genre, it will draw attention, demand cognitive resources, and will be more likely to be remembered and recognized. This would happen with both familiar and unfamiliar brands, and all of this without prominence influencing the process. These findings suggest that incongruent in-game brands would be the first game elements to be cognitively processed, even when they are irrelevant to game achievement.",videogames worlds favorite pastime brands integrate logos technique called product placement research focused analyzing brands memorized based presentation videogame little known perceived cognitively processed article analyzes attention cognitive load placement videogame mediate relationship prominence congruence familiarity brands memorization preliminary study possible brands placed n main study experimental n prominence congruence betweensubject factors familiarity withinsubject factor applying eye tracking electroencephalogram results indicate brand inserted product placement incongruent videogame genre draw attention demand cognitive resources likely remembered recognized happen familiar unfamiliar brands prominence influencing process findings suggest incongruent ingame brands game elements cognitively processed irrelevant game achievement
Between death and suffering: resolving the gamer’s dilemma,https://link.springer.com/article/10.1007/s10676-023-09711-z,07 July 2023,"Thomas Coghlan, Damian Cox","The gamer’s dilemma, initially proposed by Luck (Ethics and Information Technology 11(1):31–36, 2009) posits a moral comparison between in-game acts of murder and in-game acts of paedophilia within single-player videogames. Despite each activity lacking the obvious harms of their real-world equivalents, common intuitions suggest an important difference between them. Some responses to the dilemma suggest that intuitive responses to the two cases are based on important differences between the acts themselves or their social meaning. Others challenge the fundamental assumptions of the dilemma. In this paper, we identify and explore key imaginative and emotional differences in how certain types of in-game violence are experienced by players, consider how these differences factor into the moral lives of players, and use these insights to resolve the dilemma. The view we develop is that the key moral emotion in offensive video gameplay is self-repugnance. This is not repugnance of the act one directs a game character to perform in the game, nor repugnance of the character one plays. It is repugnance of oneself in playing the game. If self-repugnance is a fitting emotional response to playing a videogame, then this is prima facie grounds for thinking it is wrong to play the videogame. Our approach to the gamer’s dilemma is to distinguish the fittingness conditions of self-repugnance from the fittingness conditions of other moral emotions as they pertain to playing videogames. We argue that because of the virtual character of the actions performed in video games, self-repugnance is a fitting response to particular kinds of offensive gameplay. On the other hand, in-game murder is not invariably a fitting ground for self-repugnance. We argue that this difference is grounded in imaginative responses to the harm of death and the harms of profound suffering. Our task is to explain and justify this difference in fittingness conditions and use this to resolve the gamer’s dilemma.",gamers dilemma initially proposed luck ethics information technology posits moral comparison ingame acts murder ingame acts paedophilia singleplayer videogames despite activity lacking obvious harms realworld equivalents common intuitions suggest important difference responses dilemma suggest intuitive responses cases based important differences acts odds ratio social meaning challenge fundamental assumptions dilemma paper identify explore key imaginative emotional differences certain types ingame violence experienced players consider differences factor moral lives players use insights resolve dilemma view develop key moral emotion offensive video gameplay selfrepugnance repugnance act directs game character perform game repugnance character plays repugnance oneself playing game selfrepugnance fitting emotional response playing videogame prima facie grounds thinking wrong play videogame approach gamers dilemma distinguish fittingness conditions selfrepugnance fittingness conditions moral emotions pertain playing videogames argue virtual character actions performed video games selfrepugnance fitting response particular kinds offensive gameplay hand ingame murder invariably fitting ground selfrepugnance argue difference grounded imaginative responses harm death harms profound suffering task explain justify difference fittingness conditions use resolve gamers dilemma
Systematic literature review of digital resources to educate on gender equality,https://link.springer.com/article/10.1007/s10639-022-11574-8,02 February 2023,"Alma Gloria Barrera Yañez, Cristina Alonso-Fernández, Baltasar Fernández-Manjón","Violence and discrimination against women are serious problems that affect today's society regardless of culture or social environment. Educational and government programs addressing these gender issues are difficult to scale up, insufficient or, in some cases, nonexistent. Digital resources can contribute to address discrimination against women and different technological initiatives are being carried out around the world. Videogames and digital resources have proven their effectiveness as tools to educate, prevent and raise awareness about social problems. This article presents a systematic literature review of digital resources such as videogames, apps and simulations that address gender issues including violence and stereotypes. Throughout the review, we analyze multiple characteristics of the resources found (development tools, platforms, location, target audience) to classify the studies found. The main goal of this review is to present the status of gender-focused digital resources, their evaluation studies, including the metrics used and samples, as well as the acceptance and impact of their application. Most of the studies reviewed aimed to raise awareness about gender-based violence using serious games targeted at teenagers. For the resources evaluated, pre-post questionnaires were commonly used. However, many of the projects reviewed did not have evaluation studies or the resources were not openly available, thus limiting their massive application and their potential impact on society. We consider that our results provide a starting point to better understand the role of digital resources in raising awareness about gender issues, highlighting their current limitations, and providing recommendations for future research in gender-based digital resources.",violence discrimination women problems affect todays society regardless culture odds ratio social environment educational government programs addressing gender issues difficult scale insufficient odds ratio cases nonexistent digital resources contribute address discrimination women different technological initiatives carried world videogames digital resources proven effectiveness tools educate prevent raise awareness social problems article presents systematic literature review digital resources videogames apps simulations address gender issues including violence stereotypes review analyze multiple characteristics resources development tools platforms location target audience classify studies main goal review present status genderfocused digital resources evaluation studies including metrics used samples acceptance impact application studies reviewed aimed raise awareness genderbased violence using games targeted teenagers resources evaluated prepost questionnaires commonly used projects reviewed did evaluation studies odds ratio resources openly available limiting massive application potential impact society consider results provide starting point better understand role digital resources raising awareness gender issues highlighting current limitations providing recommendations future research genderbased digital resources
Measuring morality in videogames research,https://link.springer.com/article/10.1007/s10676-019-09515-0,10 October 2019,"Malcolm Ryan, Paul Formosa, Stephanie Howarth, Dan Staines","There has been a recent surge of research interest in videogames of moral engagement for entertainment, advocacy and education. We have seen a wealth of analysis and several theoretical models proposed, but experimental evaluation has been scarce. One of the difficulties lies in the measurement of moral engagement. How do we meaningfully measure whether players are engaging with and affected by the moral choices in the games they play? In this paper, we survey the various standard psychometric instruments from the moral psychology literature and discuss how they might be applied in the evaluation of games.",recent surge research videogames moral engagement entertainment advocacy education seen wealth analysis theoretical models proposed experimental evaluation scarce difficulties lies measurement moral engagement meaningfully measure players engaging affected moral choices games play paper survey various standard psychometric instruments moral psychology literature discuss applied evaluation games
Trajectories of Screen Time across Adolescence and Their Associations with Adulthood Mental Health and Behavioral Outcomes,https://link.springer.com/article/10.1007/s10964-023-01782-x,06 May 2023,"Xinxin Zhu, Helen Griffiths, Zhuoni Xiao, Denis Ribeaud, Manuel Eisner, Yi Yang, Aja Louise Murray","Excessive screen time among adolescents is discussed as a significant public health concern. Identifying adolescent longitudinal patterns of time spent on regularly-used media screens and understanding their young adulthood mental health and behavioral issue correlates may help inform strategies for improving these outcomes. This study aimed to characterize joint developmental patterns of time spent on videogames, surfing/chatting the Internet, and TV/DVDs during adolescence (at ages 11, 13, 15, 17) and their associations with mental health (i.e., depression, anxiety, suicidal ideation, and self-injury) and behavioral issues (i.e., substance use, delinquency, aggression) in early adulthood (at age 20). A parallel-process latent class growth analysis was used to model data from a diverse community-ascertained sample of youth in Zurich, Switzerland (n = 1521; 51.7% males). Results suggested that a five-class model best fitted the data: (1) low-screen use, 37.6%; (2) increasing chatting/surfing, 24.0%; (3) moderate-screen use, 18.6%; (4) early-adolescence screen use, 9.9%; and (5) increasing videogame and chatting/surfing, 9.9%. After adjusting for baseline levels of outcomes (primarily at age 11), the trajectory groups differed in their associations with adulthood outcomes of mental health and behavioral problems, indicating the importance of problematic screen usage patterns in predicting these outcomes. Future research to test the directionality of these associations will be important. These findings suggest which patterns of screen use may be a marker for later mental health and behavioral issues in different domains.",excessive screen time adolescents discussed significant public health concern identifying adolescent longitudinal patterns time spent regularlyused media screens understanding young adulthood mental health behavioral issue correlates help inform strategies improving outcomes study aimed characterize joint developmental patterns time spent videogames surfingchatting internet televisiondvds adolescence ages associations mental health depression anxiety suicidal ideation selfinjury behavioral issues substance use delinquency aggression early adulthood age parallelprocess latent class growth analysis used model data diverse communityascertained sample youth zurich switzerland n males results suggested fiveclass model best fitted data lowscreen use increasing chattingsurfing moderatescreen use earlyadolescence screen use increasing videogame chattingsurfing adjusting baseline levels outcomes primarily age trajectory groups differed associations adulthood outcomes mental health behavioral problems indicating importance problematic screen usage patterns predicting outcomes future research test directionality associations important findings suggest patterns screen use marker later mental health behavioral issues different domains
Problematic Gaming and Students’ Academic Performance: A Systematic Review,https://link.springer.com/article/10.1007/s11469-024-01338-5,10 June 2024,"Alanood Khalid D Alzahrani, Mark D. Griffiths","Research indicates that videogames can have many benefits. However, gaming can be problematic for some individuals. Consequently, over the past two decades, researchers have actively studied the risk factors and consequences of problematic gaming and gaming disorder which may affect many aspects of individuals’ lives, including their academic performance.",research indicates videogames benefits gaming problematic individuals consequently past decades researchers actively studied risk factors consequences problematic gaming gaming disorder affect aspects individuals lives including academic performance
Changes in Daily Life Habits during COVID-19 and Their Transitory and Permanent Effects on Italian University Students’ Anxiety Level,https://link.springer.com/article/10.1007/s11482-024-10304-1,15 March 2024,"Giovanni Busetta, Maria Gabriella Campolo, Demetrio Panarello","The COVID-19 pandemic has produced increases in mental distress, correlated with fear about the future, economic outlook, labor market situation, restriction of individual freedom and behavioral changes. While some of these are associated with the perceived risk of infection, others are linked to the restrictive measures imposed to limit infections. Whatever the reason behind it, the main question to be asked is whether transitory or habitual anxiety levels are affected and, eventually, whether changes in daily life habits could play a role. To answer this question, a survey was administered to thousands of students from three Italian universities. The survey included a psychological test, the State-Trait Anxiety Inventory, through which it is possible to observe whether the effects of changes in daily life habits impact on transitory (State) and/or habitual (Trait) levels of anxiety. First, the results show that individuals who are habitually characterized by higher levels of anxiety tend to suffer higher increases in transitory anxiety during the pandemic, and that being a woman is associated with increases in both habitual and current anxiety. Furthermore, physical activity, book reading and self-care practices seem to mitigate the increase in anxiety led by the pandemic. While the first and the last have an impact on habitual and current anxiety levels, book reading is only associated with reductions in current anxiety. Finally, increased use of social networks is associated with greater state anxiety levels, while intensive exposure to videogames and movies amplifies trait anxiety.",coronavirus disease pandemic produced increases mental distress correlated fear future economic outlook labor market situation restriction individual freedom behavioral changes associated perceived risk infection linked restrictive measures imposed limit infections reason main question asked transitory odds ratio habitual anxiety levels affected eventually changes daily life habits play role answer question survey administered thousands students italian universities survey included psychological test statetrait anxiety inventory possible observe effects changes daily life habits impact transitory state andodds ratio habitual trait levels anxiety results individuals habitually characterized higher levels anxiety tend suffer higher increases transitory anxiety pandemic woman associated increases habitual current anxiety furthermore physical activity book reading selfcare practices mitigate increase anxiety led pandemic impact habitual current anxiety levels book reading associated reductions current anxiety finally increased use social networks associated greater state anxiety levels intensive exposure videogames movies amplifies trait anxiety
Which is the Digital Competence of Each Member of Educational Community to Use the Computer? Which Predictors Have a Greater Influence?,https://link.springer.com/article/10.1007/s10758-023-09646-w,04 April 2023,"Francisco D. Guillén-Gámez, Ernesto Colomo-Magaña, Andrea Cívico-Ariza, Teresa Linde-Valenzuela","Since the COVID-19 pandemic, the use of digital resources and virtual platforms is even more essential to continue the educational process, either in person or online, affecting all the members involved in the teaching–learning process of the students. Therefore, this study is aimed: (1) to know and compare the digital competence of the agents that are the main integrators of the educational community (parents, teachers, students) about the use of the computers, according to gender and educational stage (Pre-school, Primary and Secondary Education stages); and (2) to identify significant predictors that affect the acquisition of this competence. An ex-post-facto design was used with a sample of 786 participants from Andalusia (Spain). Research methods such as contrasts of means and multiple linear regression analysis were used. The results showed high average levels of basic digital competences for all the agents involved. A gender gap was found between mothers and fathers of students, with higher scores for the latter group. In addition, the use of videogames, the parents' academic background and the use of digital tablets or Google+ are the most significant predictors that affect the acquisition of this competence.",coronavirus disease pandemic use digital resources virtual platforms essential continue educational process person odds ratio online affecting members involved teachinglearning process students study aimed know compare digital competence agents main integrators educational community parents teachers students use computers according gender educational stage preschool primary secondary education stages identify significant predictors affect acquisition competence expostfacto design used sample participants andalusia spain research methods contrasts means multiple linear regression analysis used results showed high average levels basic digital competences agents involved gender gap mothers fathers students higher scores group addition use videogames parents academic background use digital tablets odds ratio google significant predictors affect acquisition competence
"The relationships between school children's wellbeing, socio-economic disadvantage and after-school activities: a cross-sectional study",https://link.springer.com/article/10.1186/s12887-022-03322-1,21 May 2022,"Eliza Kennewell, Rachel G. Curtis, Carol Maher, Samuel Luddy, Rosa Virgara",Lower socioeconomic status is associated with poorer wellbeing among children. Identifying how children participate in after-school activities and how after-school activities are associated with wellbeing may inform interventions to improve wellbeing among children from low socioeconomic backgrounds. This study explored whether children’s after-school activities varied by socioeconomic status and examined the associations between after-school activities and wellbeing in low socioeconomic status children.,lower socioeconomic status associated poorer wellbeing children identifying children participate afterschool activities afterschool activities associated wellbeing inform interventions improve wellbeing children low socioeconomic backgrounds study explored childrens afterschool activities varied socioeconomic status examined associations afterschool activities wellbeing low socioeconomic status children
Factors affecting the Acceptance of Video Games as a Tool to improve students’ academic performance in Physical Education,https://link.springer.com/article/10.1007/s10639-022-11295-y,04 November 2022,"Carlos Merino-Campos, Héctor del-Castillo, José-Amelio Medina-Merodio","Using commercial videogames as learning objects for the development of 21st century skills in secondary schools has been a relevant topic of study in recent years. But its use in the field of physical education is especially interesting considering its nature. The aim of this article is to explore how elements like technological competence, game-based learning, accessibility, and enjoyment are relevant factors that influence the acceptance of the use of video games as a learning aid in the context of physical education, as well as their influence on academic performance in the subject itself. The study enlisted the participation of 166 secondary school students. A quasi-experimental pre-post design with a non-equivalent control group was used. The intervention consisted of a specific training program entailing nine one-hour sessions once a week. To develop the model, the data was analysed using the optimisation technique of partial least squares (PLS). Our findings show that the factors studied, which are accessibility, enjoyment, technological competence and learning through video games, have an impact on students’ acceptance of video games as an educational tool and how this positive relationship leads to enhanced academic performance in physical education.",using commercial videogames learning objects development st century skills secondary schools relevant topic study recent years use field physical education especially interesting considering nature artificial intelligence medicine article explore elements like technological competence gamebased learning accessibility enjoyment relevant factors influence acceptance use video games learning aid context physical education influence academic performance subject study enlisted participation secondary school students quasiexperimental prepost design nonequivalent control group used intervention consisted specific training program entailing onehour sessions week develop model data analysed using optimisation technique partial squares partial squares findings factors studied accessibility enjoyment technological competence learning video games impact students acceptance video games educational tool positive relationship leads enhanced academic performance physical education
